#{"t_start": 1755726833.5875497, "env_id": "None"}
r,l,t
-73.999663,5000,8011.809684
-73.999663,5000,8017.588398
-73.999663,5000,8024.214972
-1064.679596,5000,8073.259307
-1064.679596,5000,8079.548954
-1064.679596,5000,8085.645143
-1064.679596,5000,8091.04987
-1064.679596,5000,8096.553527
99908.928802,5000,8136.340997
99908.928802,5000,8148.230254
99908.928802,5000,8156.414169
99908.928802,5000,8163.247662
99908.928802,5000,8171.506945
844.823378,5000,8210.83335
844.823378,5000,8216.981259
844.823378,5000,8222.309743
844.823378,5000,8227.284018
844.823378,5000,8232.471922
-167.195421,5000,8284.243173
-167.195421,5000,8295.27728
-167.195421,5000,8303.817143
-167.195421,5000,8312.869102
-167.195421,5000,8322.51703
96737.333325,5000,8374.396461
96737.333325,5000,8382.301686
96737.333325,5000,8388.609647
96737.333325,5000,8396.27676
96737.333325,5000,8402.768824
-327.133414,5000,8442.009619
-327.133414,5000,8447.727242
-327.133414,5000,8453.411614
-327.133414,5000,8459.224159
-327.133414,5000,8465.265871
1286.584389,5000,8510.862609
1286.584389,5000,8521.531691
1286.584389,5000,8527.751851
1286.584389,5000,8533.673993
1286.584389,5000,8541.588776
1081.090377,5000,8580.398686
1081.090377,5000,8585.698282
1081.090377,5000,8591.078846
1081.090377,5000,8597.014154
1081.090377,5000,8602.75398
1197.777075,5000,8648.760462
1197.777075,5000,8654.61527
1197.777075,5000,8661.381886
1197.777075,5000,8666.969599
1197.777075,5000,8672.866783
108943.442617,5000,8723.261659
108943.442617,5000,8730.417336
108943.442617,5000,8736.363835
108943.442617,5000,8743.595833
108943.442617,5000,8750.721372
4235.488483,5000,8790.424716
4235.488483,5000,8796.479557
4235.488483,5000,8802.869384
4235.488483,5000,8809.461425
4235.488483,5000,8815.335575
12740.489097,5000,8854.313521
12740.489097,5000,8859.977639
12740.489097,5000,8866.518957
12740.489097,5000,8873.444119
12740.489097,5000,8880.522778
3129.466887,5000,8913.040628
3129.466887,5000,8918.447316
3129.466887,5000,8924.110386
3129.466887,5000,8930.055248
3129.466887,5000,8935.506272
109368.109775,5000,8970.919123
109368.109775,5000,8976.376985
109368.109775,5000,8981.882879
109368.109775,5000,8987.333756
109368.109775,5000,8992.821033
110835.267815,5000,9026.936115
110835.267815,5000,9032.34871
110835.267815,5000,9037.749193
110835.267815,5000,9043.083256
110835.267815,5000,9048.477654
110291.948812,5000,9083.439343
110291.948812,5000,9088.950448
110291.948812,5000,9094.268575
110291.948812,5000,9099.455174
110291.948812,5000,9104.667472
3723.323105,5000,9137.458547
3723.323105,5000,9142.325275
3723.323105,5000,9147.205814
3723.323105,5000,9152.163369
3723.323105,5000,9157.873023
98537.401015,5000,9190.671506
98537.401015,5000,9195.905279
98537.401015,5000,9201.178679
98537.401015,5000,9206.860529
98537.401015,5000,9212.872182
6264.703895,5000,9255.836919
6264.703895,5000,9262.751061
6264.703895,5000,9269.265153
6264.703895,5000,9276.807025
6264.703895,5000,9283.42293
2393.984619,5000,9323.697487
2393.984619,5000,9331.730341
2393.984619,5000,9338.322162
2393.984619,5000,9344.160305
2393.984619,5000,9349.929688
510.200082,5000,9390.222376
510.200082,5000,9395.667094
510.200082,5000,9401.565863
510.200082,5000,9407.165466
510.200082,5000,9412.590459
498.284012,5000,9452.693321
498.284012,5000,9458.118362
498.284012,5000,9465.031221
498.284012,5000,9470.33413
498.284012,5000,9475.530677
109882.68903,5000,9512.199807
109882.68903,5000,9517.465579
109882.68903,5000,9522.658022
109882.68903,5000,9527.93734
109882.68903,5000,9533.592766
46521.962117,5000,9566.02368
46521.962117,5000,9572.044096
46521.962117,5000,9579.126473
46521.962117,5000,9584.231756
46521.962117,5000,9589.229047
652.499709,5000,9626.653587
652.499709,5000,9632.005223
652.499709,5000,9637.20837
652.499709,5000,9642.808515
652.499709,5000,9649.038416
-114.967697,5000,9683.951524
-114.967697,5000,9688.854173
-114.967697,5000,9693.777317
-114.967697,5000,9700.730651
-114.967697,5000,9707.119672
120.398026,5000,9739.783462
120.398026,5000,9744.658809
120.398026,5000,9749.5833
120.398026,5000,9754.487005
120.398026,5000,9760.611167
36.822897,5000,9798.740828
36.822897,5000,9804.0848
36.822897,5000,9811.881418
36.822897,5000,9818.757727
36.822897,5000,9824.103123
1812.012156,5000,9860.374811
1812.012156,5000,9865.480093
1812.012156,5000,9870.766686
1812.012156,5000,9876.18364
1812.012156,5000,9881.328577
1690.850507,5000,9912.525482
1690.850507,5000,9918.526173
1690.850507,5000,9924.039211
1690.850507,5000,9930.438726
1690.850507,5000,9935.595877
76604.970735,5000,9970.143536
76604.970735,5000,9975.384054
76604.970735,5000,9980.588511
76604.970735,5000,9985.830929
76604.970735,5000,9991.678978
33931.32635,5000,10028.544987
33931.32635,5000,10033.94718
33931.32635,5000,10039.141682
33931.32635,5000,10044.773351
33931.32635,5000,10050.421075
63966.439162,5000,10084.024011
63966.439162,5000,10089.013379
63966.439162,5000,10094.120946
63966.439162,5000,10099.342195
63966.439162,5000,10104.382199
25903.044964,5000,10137.476684
25903.044964,5000,10144.472502
25903.044964,5000,10151.607087
25903.044964,5000,10157.273188
25903.044964,5000,10162.531955
113022.094715,5000,10199.219522
113022.094715,5000,10207.597156
113022.094715,5000,10216.363785
113022.094715,5000,10221.827497
113022.094715,5000,10227.302264
818.877078,5000,10261.697886
818.877078,5000,10266.849911
